title,authors,cover_url,description,tags,source_url
Canadian Journal of Chemistry,,http://books.google.com/books/content?id=Yub8XpfKJeMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Chemistry,http://books.google.com/books?id=Yub8XpfKJeMC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Circular,,http://books.google.com/books/content?id=0-Cirg3mldcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Geology,http://books.google.com/books?id=0-Cirg3mldcC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Mass Media,Canada. Parliament. Senate. Special Senate Committee on Mass Media,http://books.google.com/books/content?id=FS9VEl9oqeoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Mass media,http://books.google.com/books?id=FS9VEl9oqeoC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Anthropology in British Columbia,British Columbia Provincial Museum,http://books.google.com/books/content?id=rnZ9gBpmktgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Anthropology,http://books.google.com/books?id=rnZ9gBpmktgC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Canadian Journal of Fisheries and Aquatic Sciences,,http://books.google.com/books/content?id=3z-PMYslbw0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Aquatic sciences,http://books.google.com/books?id=3z-PMYslbw0C&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Daily Report,,http://books.google.com/books/content?id=Xzq8Bjmb48UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Soviet Union,http://books.google.com/books?id=Xzq8Bjmb48UC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
Introdction To Educational Psychology,Marvin Powell and Robert E. Mangum,http://books.google.com/books/content?id=dx7FGfbqUM4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,General,http://books.google.com/books?id=dx7FGfbqUM4C&dq=a&hl=&as_pt=BOOKS&source=gbs_api
A Theory of Semiotics,Umberto Eco,http://books.google.com/books/content?id=BoXO4ItsuaMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,""" . . . the greatest contribution to [semiotics] since the pioneering work of C. S. Peirce and Charles Morris."" —Journal of Aesthetics and Art Criticism "" . . . draws on philosophy, linguistics, sociology, anthropology and aesthetics and refers to a wide range of scholarship . . . raises many fascinating questions."" —Language in Society "" . . . a major contribution to the field of semiotic studies."" —Robert Scholes, Journal of Aesthetics and Art Criticism "" . . . the most significant text on the subject published in the English language that I know of."" —Arthur Asa Berger, Journal of Communication Eco's treatment demonstrates his mastery of the field of semiotics. It focuses on the twin problems of the doctrine of signs—communication and signification—and offers a highly original theory of sign production, including a carefully wrought typology of signs and modes of production.",Language Arts & Disciplines,http://books.google.com/books?id=BoXO4ItsuaMC&dq=a&hl=&as_pt=BOOKS&source=gbs_api
David Mamet,David K. Sauer; Janice A. Sauer,http://books.google.com/books/content?id=mBBaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The most complete record of a contemporary American dramatist available, David Mamet: A Resource and Production Sourcebook is the result of ten years' research by a widely published drama and theatre scholar and a university bibliographic specialist. Presenting a complete overview of all reviews and scholarshp on Mamet, the authors challenge assumptions about the playwright, such as the charge that he is an antifeminist writer. This comprehensive sourcebook is an essential purchase for Mamet scholars and students of American drama alike. David Mamet: A Resource and Production Sourcebook reflects the revolution underway in the study of drama, in which not only previous scholarship but performance reviews are a necessary part of research. It gives a complete listing and overview of over 250 scholarly articles and chapters of books on Mamet's plays. It also presents the complete production history of each play, including review excerpts. The authors have produced an invaluable guide to research into this key contemporary dramatist.",Drama,http://books.google.com/books?id=mBBaAAAAMAAJ&dq=a&hl=&as_pt=BOOKS&source=gbs_api
A. Huntington Letters,Asahel Huntington,,"Two letters from A. Huntington to an unnamed recipient, both dated Salem, December 7, 1832 and April 9, 1836, on matters of local government. The latter letter opens, ""Ebenezer D. Richards is now at Westborough, or was there last Wednesday. I think he should be arrested immediately...""",Massachusetts,http://books.google.com/books?id=PCe2ygAACAAJ&dq=a&hl=&as_pt=BOOKS&source=gbs_api
