title,authors,cover_url,description,tags,source_url
The Turquoise,Joseph E. B. 1887 Pogue; Frederick Webb Hodge; Heye Foun Museum of the American Indian,http://books.google.com/books/content?id=b404rgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",General,http://books.google.com/books?id=b404rgEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Need for Pro-Growth Tax Reform,United States. Congress; United States House of Representatives; Committee on the Budget,http://books.google.com/books/content?id=2vpVswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The need for pro-growth tax reform : hearing before the Committee on the Budget, House of Representatives, One Hundred Twelfth Congress, first session, hearing held in Washington, DC, September 14, 2011.",General,http://books.google.com/books?id=2vpVswEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
CATALOGUE OF COINS TOKENS & ME,United States Bureau of the Mint; T. Louis (Thomas Louis) 186 Comparette,http://books.google.com/books/content?id=VhklvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,http://books.google.com/books?id=VhklvgAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Congregational Year-Book Volume V.36,Congregational Churches in the United St,http://books.google.com/books/content?id=r_CRjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",General,http://books.google.com/books?id=r_CRjwEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Transatlantic Constitution,Mary Sarah Bilder,http://books.google.com/books/content?id=PhOQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Departing from traditional approaches to colonial legal history, Mary Sarah Bilder argues that American law and legal culture developed within the framework of an evolving, unwritten transatlantic constitution that lawyers, legislators, and litigants on both sides of the Atlantic understood. The central tenet of this constitution—that colonial laws and customs could not be repugnant to the laws of England but could diverge for local circumstances—shaped the legal development of the colonial world. Focusing on practices rather than doctrines, Bilder describes how the pragmatic and flexible conversation about this constitution shaped colonial law: the development of the legal profession; the place of English law in the colonies; the existence of equity courts and legislative equitable relief; property rights for women and inheritance laws; commercial law and currency reform; and laws governing religious establishment. Using as a case study the corporate colony of Rhode Island, which had the largest number of appeals of any mainland colony to the English Privy Council, she reconstructs a largely unknown world of pre-Constitutional legal culture.",History,http://books.google.com/books?id=PhOQAAAAMAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Ella Deloria's The Buffalo People,Ella Cara Deloria; Julian Rice,http://books.google.com/books/content?id=88N1AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The five narratives in this book, the third in Julian Rice's examination of the work of Ella Deloria, demonstrate Deloria's artistry in portraying the central values of Lakota (Sioux) culture. The introductory stories illustrate courage in three extraordinary women and Deloria's ability to subordinate her voice to that of different narrators. Another tale, ""The Prairie Dogs,"" explains how the warriors' and chiefs' societies, the strongest forces for social cohesion, came into being."" ""The longest story, ""The Buffalo People,"" concerns the origin of tribal identity based on such ideal qualities as the strength and generosity of the buffalo and the resiliency and grace of the corn. Following the noted storyteller Makula (Breast or Left Heron), Deloria improvises upon the poetic conventions of oral performance, from simple asides to traditional set speeches of the Buffalo Woman ceremony. Blending careful observation with creative skill, these stories offer new and often surprising perspectives on Lakota culture. They will entertain and instruct any reader with an interest in Native American societies of the past and present.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",Foreign Language Study,http://books.google.com/books?id=88N1AAAAMAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Creation of a Traffic Court in the District of Columbia. February 10, 1923. -- Committed to the Committee of the Whole House on the State of the Union and Ordered to be Printed",United States. Congress. House. Committee on the District of Columbia,,,General,http://books.google.com/books?id=VZXzwQEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Annual Report of the Board of Regents of the Smithsonian Institution,Smithsonian Institution Board of Regent; United States National Museum Report of; Smithsonian Institution Report of the S,http://books.google.com/books/content?id=iOvqjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",General,http://books.google.com/books?id=iOvqjgEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Report of the Senate Advisory Commission on Cost Control in State Government on the Super-agencies,California. Legislature. Senate. Advisory Commission on Cost Control in State Government. Subcommittee on the Super-Agencies,http://books.google.com/books/content?id=aOs6qWwpu9QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Administrative agencies,http://books.google.com/books?id=aOs6qWwpu9QC&dq=the&hl=&as_pt=BOOKS&source=gbs_api
PROCEEDINGS AT THE LAYING OF T,Samuel C. Perkins; Philadelphia Commissioners for the Erec,http://books.google.com/books/content?id=2AhKvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,http://books.google.com/books?id=2AhKvgAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Vessel Spill Response Technologies,Gulf of the Farallones National Marine Sanctuary (Agency : U.S.); Cordell Bank National Marine Sanctuary (Agency : U.S.),,"""In June 2011 the Superintendents of the Gulf of the Farallones (GF) and Cordell Banks (CB) National Marine Sanctuaries (NMS) established a Vessel Spills Working Group (VSWG) to provide an analysis and advisory report on the use of oil dispersants within the GF and CB NMS. The formation of the VSWG was the result of a recommendation in the GFNMS 2008 Management Plan. The objective of the VSWG is to provide a set of recommendations to the Sanctuary Advisory Councils (SAC) to consider and transmit to the Superintendents for their consideration. This process was completed in May 2012 and report presented to the SACs on June 7, 2012. The VSWG had invited technical members who discussed inter-agency coordination and response, dispersant decision protocols, oil spill trajectory models, and response technologies. The VSWG decided to focus more on oil spill response technologies and specifically the use of dispersants. In order to fully understand the complexity and dynamics of the fate of oil and oil dispersants and the potential impacts of dispersed oil on the resources within the Sanctuaries, the VSWG has conducted a series of meetings with presentations from identified regional experts in the areas of toxicology, oceanography and the biological resources of the Sanctuaries. The effect of oil and dispersed oil on human health was not a topic discussed with the VSWG. However, a general discussion on this topic is included at the end of the background section based on a group consensus that the topic merits consideration""--Executive summary.",Dispersing agents,http://books.google.com/books?id=31S3AQAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Lost Gutenberg,Margaret Leslie Davis,http://books.google.com/books/content?id=0chqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"“A lively tale of historical innovation, the thrill of the bibliophile’s hunt, greed and betrayal.” – The New York Times Book Review ""An addictive and engaging look at the ‘competitive, catty and slightly angst-ridden’ heart of the world of book collecting.” - The Houston Chronicle The never-before-told story of one extremely rare copy of the Gutenberg Bible, and its impact on the lives of the fanatical few who were lucky enough to own it. For rare-book collectors, an original copy of the Gutenberg Bible--of which there are fewer than 50 in existence--represents the ultimate prize. Here, Margaret Leslie Davis recounts five centuries in the life of one copy, from its creation by Johannes Gutenberg, through the hands of monks, an earl, the Worcestershire sauce king, and a nuclear physicist to its ultimate resting place, in a steel vault in Tokyo. Estelle Doheny, the first woman collector to add the book to her library and its last private owner, tipped the Bible onto a trajectory that forever changed our understanding of the first mechanically printed book. The Lost Gutenberg draws readers into this incredible saga, immersing them in the lust for beauty, prestige, and knowledge that this rarest of books sparked in its owners. Exploring books as objects of obsession across centuries, this is a must-read for history buffs, book collectors, seekers of hidden treasures, and anyone who has ever craved a remarkable book--and its untold stories.",History,https://play.google.com/store/books/details?id=0chqDwAAQBAJ&source=gbs_api
The Journal of Hellenic Studies: 17,Society for the Promotion of Hellenic St,http://books.google.com/books/content?id=ReQ4twEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",History,http://books.google.com/books?id=ReQ4twEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"The Hahnemannian Monthly, Volume 20",Homeopathic Medical Society of the State,http://books.google.com/books/content?id=-beLjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",General,http://books.google.com/books?id=-beLjwEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Constitution, Proceedings, and Address of the Young Men's Bible Association of the City and County of Philadelphia, for the Spread of the Scriptures in South America",Young Men's Bible Association for the Spread of the Scriptures in South America,,,Bible,http://books.google.com/books?id=VH8zHAAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Ritual of the Uniformed Rank Knights of Honor of the World, adopted by the Supreme Lodge at Natchez, Miss. 1896",Uniformed Rank of Knights of Honor of the World. Supreme Lodge,,,General,http://books.google.com/books?id=zdg7ywAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Avenger,E. Phillips Oppenheim,http://books.google.com/books/content?id=EcGFzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Literary Collections,http://books.google.com/books?id=EcGFzwEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Dust,Joseph Anthony Amato,http://books.google.com/books/content?id=74i8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A history of this minute particle spans a thousand years of Western Civilization, from the naturalism of the medieval period though the intensely curious Renaissance, to the modern worlds of nanotechnology and viral research.",Science,http://books.google.com/books?id=74i8QgAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Damned (La Bas),Joris-Karl Huysmans,,"Joris-Karl Huysmans' shocking novel of an innocent's descent into a world of depraved, blasphemous rituals Durtal, a shy, censorious man, is writing a biography of Gilles de Rais, the monstrous fifteenth-century child-murderer thought to be the original for 'Bluebeard'. Bored and disgusted by the vulgarity of everyday life, Durtal seeks spiritual solace by immersing himself in another age. But when he starts asking questions about Gilles's involvement in satanic rituals and is introduced to the exquisitely evil madame Chantelouve, he is soon drawn into a twilight world of black magic and erotic devilry in fin-de- siècle Paris. Published in 1891, The Damned cemented Huysmans's reputation as a writer at the forefront of the avant-garde and as one of the most challenging and innovative figures in European literature. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",Fiction,http://books.google.com/books?id=e-wZ0QEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Commonwealth of Massachusetts. February 7, 1824",Massachusetts. General Court. Committee on the State Grant to Harvard University; Joseph Richardson; John Davis; True and Greene,,,General,http://books.google.com/books?id=s0fRYgEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Peloponnesian War,John Francis Lazenby,http://books.google.com/books/content?id=CYOTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The range and extent of the Peloponnesian War of the fifth century BC has led to it being described as a 'world war' in miniature. With the struggle between Athens and Sparta at its core, the twenty-seven-year conflict drew in states from all points of the compass; from Byzantion in the north, Crete in the south, Asia Minor in the east and Sicily in the west. Since Thucydides described the war as 'the greatest disturbance to befall the Greeks' numerous studies have been made of individual episodes and topics. This authoritative work is the first single-volume study of the entire war to be published in over seventy-five years. Lazenby avoids the tendency of allowing historiography to obscure the analysis, and while paying due attention to detail, also looks at the fundamental questions of warfare raised by the conflict. Within a narrative framework, Lazenby concentrates on the fighting itself, and examining the way in which both strategy and tactics developed as the conflict spread. Not afraid to challenge accepted views, he assesses the war as a military rather than a political endeavour, evaluating issues such as the advantages and limitations of sea power. A readable and clear survey, this text offers a balanced discussion of controversial themes, and will appeal to ancient historians, classicists and all those who are interested in military history.",History,http://books.google.com/books?id=CYOTmAEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Nurse Practitioner in Urology,Susanne A. Quallich; Michelle J. Lajiness,http://books.google.com/books/content?id=waL0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This new edition updates the previous one and adds additional content related to postoperative management, pain management, LGBTQ care, and uroradiology. This book is designed to meet the needs of nurse practitioners, advanced practice nurses globally and physician assistants working in urology. Content assumes some background knowledge regarding the normal anatomy and physiology of the genitourinary system and the pathophysiology underlying specific urologic health-related problems. This ensures that the provider can pursue exemplary management of patients with acute and chronic urologic conditions in a wide variety of settings, including independent practices, and academic urologic practices. This manual fills the gaps that traditional curricula may have left, permitting the reader to proceed with confident management of adult patients with urologic care needs, promoting the role of a skilled clinician in urology, especially for chronic, non-operative urologic conditions while recognizing those conditions which may benefit from surgical management.As the burden of urologic disease increases with an aging U.S. population, it is increasingly clear that nurse practitioners and physician assistants will be called on to move into roles caring for patients with urologic disease. Use of NPs and PAs to their highest education will become an increasingly important strategy for maintaining access and reducing costs, in the context of urologist workforce that is shrinking. However, urology topics receive sporadic attention in NP and PA curricula, leaving practicing NPs and PAs with gaps in their knowledge concerning trends and recommendations for management of urologic health conditions. As this demand for provider visits for urologic concerns increases, the demand for provider services to care for patients with urologic health concerns will also increase, and presents the opportunity for both NPs and PAs to move into specialty practice environments within urology.",Medical,https://play.google.com/store/books/details?id=waL0DwAAQBAJ&source=gbs_api
The Glorious American Essay,Phillip Lopate,http://books.google.com/books/content?id=6LVCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A monumental, canon-defining anthology of three centuries of American essays, from Cotton Mather and Benjamin Franklin to David Foster Wallace and Zadie Smith—selected by acclaimed essayist Phillip Lopate ""Not only an education but a joy. This is a book for the ages."" —Rivka Galchen, author of Atmospheric Disturbances The essay form is an especially democratic one, and many of the essays Phillip Lopate has gathered here address themselves—sometimes critically—to American values. We see the Puritans, the Founding Fathers and Mothers, and the stars of the American Renaissance struggle to establish a national culture. A grand tradition of nature writing runs from Audubon, Thoreau, and John Muir to Rachel Carson and Annie Dillard. Marginalized groups use the essay to assert or to complicate notions of identity. Lopate has cast his net wide, embracing critical, personal, political, philosophical, literary, polemical, autobiographical, and humorous essays. Americans by birth as well as immigrants appear here, famous essayists alongside writers more celebrated for fiction or poetry. The result is a dazzling overview of the riches of the American essay.",Literary Collections,http://books.google.com/books?id=6LVCEAAAQBAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Tao of Twitter,Mark W. Schaefer,http://books.google.com/books/content?id=I0H-tgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It's time to take the mystery out of Twitter. Twitter may be the most powerful business and personal networking platform ever created but it remains a frustrating, strange world for most people.The Tao of Twitter is a path, a majestic random synergy with the potential to change your business and your life forever -- if you know the way!This is a book designed for busy people who can't spend hours in experimentation and research trying to find success. In one hour you will know enough strategies, tactics, and time-savers to create an effective presence on Twitter that will result in meaningful and measurable benefits.Through colorful examples and easy-to-follow, non-technical language, college educator and renowned marketing expert Mark Schaefer teaches you:> Secrets to building influence on Twitter> The formula behind every Twitter success> Applying Twitter for competititve advantage> A daily Twitter regimen> Specific business and personal benefits> 15 Ways to attract targeted followers... plus hundreds of fresh ideas that will make Twitter fun and profitable. Jump-start your journey toward social media success by learning the Tao of Twitter!",Blogs,http://books.google.com/books?id=I0H-tgAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Constitution of the M. W. Grand Lodge of Ancient Free and Acepted Masons of the State of Rhode Island and Providence Plantations, Adopted November 18, A. L. 5872","Franc-maçonnerie. Grand lodge of ancient free and accepted masons of the State of Rhode Island (Providence, U.S.A.)",,,General,http://books.google.com/books?id=o3pnXwAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Report of the Railroad Commission of the State of California to the Assembly on Salaries of $5000 Or More, Legal Fees, Dues, Donations, Subscriptions and Contributions Paid by Public Utility Corporations During 1936 ...",Railroad Commission of the State of California,,,Public utilities,http://books.google.com/books?id=jpacpwAACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The 35 Doctors of the Church,Rev. Fr. Christopher Rengers,http://books.google.com/books/content?id=hl6uCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The 35 Doctors of the Church presents the most comprehensive and fascinating collection available anywhere on the lives and labors of the saints who have been declared the Church's Doctors. From St. Athanasius (c. 297-373) to St. Thérèse of Lisieux (1873 1897), you'll find the amazing stories of 35 extraordinary men and women who are honored both for their holiness and for the eminence of their teachings about the Faith. Their work and witness are truly timeless; their lives and wisdom show us how to be holy in our own lives, how to confront the challenges of today, and how to proclaim the Gospel to a modern world hungering for Jesus Christ. Originally published as The 33 Doctors of the Church by Father Christopher Rengers, O.F.M. Cap., The 35 Doctors of the Church has been updated by Dr. Matthew E. Bunson, K.H.S., to include two new chapters about recently proclaimed Doctors, St. John of Ávila and St. Hildegard of Bingen. The revised edition also includes a new Introduction with a detailed explanation of how the Church proclaims Doctors and their meaning for today.",Religion,https://play.google.com/store/books/details?id=hl6uCgAAQBAJ&source=gbs_api
"Letter from the Chairman of the Federal Trade Commission, Transmitting, in Response to Senate Resolution No. 224, Seventieth Congress, Report of the Federal Trade Commission Relative to Chainstore Leaders and Loss Leaders",United States. Congress. Senate. Committee on the Judiciary,,,Food industry and trade,http://books.google.com/books?id=4wT4vgEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
My Chihuahua Have Given Me Some of the Happiest Memories I Have,The Universal Book House,http://books.google.com/books/content?id=OM9gzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Are you looking for a great gift for a loved person or someone close to you?This is the perfect gift for all Chihuahua Lover.This cute Lined notebook journal would make the perfect gift for dog lovers or anyone who loves cute and creative designs.Great for taking down notes around your Chihuahua, as a diary. for collecting ideas and save memories.High quality cover great themed design 100 pages blank white paper, lined 6"" x 9"" inch size.",General,http://books.google.com/books?id=OM9gzQEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Trotskyite Terrorist International,United States. Congress. Senate. Committee on the Judiciary,,,General,http://books.google.com/books?id=OQBWwQEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
"Manual of the Sodality of the Holy Name of Jesus, as Established by the Dominican Fathers. Comprising the Rules, Devotions and Hymns ... Second Edition",Sodality of the Holy Name of Jesus (JESUS CHRIST),,,General,http://books.google.com/books?id=mV0eMwEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
A blanc check for intervention - the evolution of the Monroe Doctrine and its significance in contemporary U.S. foreign policy,Michael Schmid,http://books.google.com/books/content?id=DiuWKiwC3vsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Seminar paper from the year 2005 in the subject Politics - Region: USA, grade: 1,3, Indiana University (Political Science Department), course: American Political Traditions, language: English, abstract: The Monroe Doctrine will be 200 years old in 2023 and the world of today could not be more different than from the conditions of the world in which president James Monroe gave his speech, which would become so famous and significant for the direction of U.S. foreign policy. Yet the policies of the Monroe Doctrine are still very much alive. Especially after president Theodore Roosevelt announced the Roosevelt Corollary to the Monroe Doctrine in 1904 America’s path of becoming a major player in world affairs with arbitrary power was paved for them. The argument of this paper is that the document known today as the Monroe Doctrine started out as a simple but efficient and bold proclamation, which dealt with the problems of its time and has been transformed into a tool for global involvement. Originally it attempts to keep Europeans out of the New World but it does not attack the already existing colonies in the Western Hemisphere. Over time various presidents altered this original phrasing. One of the more important examples of this tradition is Theodore Roosevelt’s Corollary to the doctrine, which will serve as an illustration to outline the main argument. Roosevelt turned the meaning of the doctrine around and went from noninterference to active responsibility by the United States to intervene anywhere in the Western Hemisphere where chaos and violence ruled. Still limited on the Western Hemisphere and whatever was defined to fit into this category Roosevelt’s definition of the “international police power” soon became just that. The United States would enter two World Wars on the basic justification that they were restoring order and justice and were only acting out of self-defense reasons. After World War II nothing of what James Monroe had once proclaimed as essential to American progress was left. The defining characteristic of Monroe’s old doctrine-the non-interference with European affairs phrase-had been shattered to pieces. The Cold War forced the United States to become even more dedicated to European matters and even after the Cold War the U.S. or a multilateral coalition under U.S. leadership now dealt with new threats to European peace. With the post 9/11 era all dreams about isolation from Europe were forever destroyed. The War on Terrorism is the latest effort of the United States to change the conditions of countries all around the world.",Political Science,https://play.google.com/store/books/details?id=DiuWKiwC3vsC&source=gbs_api
Outdoor Survival Journal,The Highland wanderer Journals,http://books.google.com/books/content?id=RlDuvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Highland Wanderer Journals 100 pages of unique journaling pages with a space to record date and note about your experience These planners are 6 x 9"" and ideal for taking on an expedition or activity as you can pop them in your bag to grab when that special little thought comes to you and ensure you get the things you think about done or planned. Can make a great reflection tool to remind you of your journey and support planning of your new expedition or experience. Suitable to be used with most media, pencils, pens, felt tips, watercolours, pastels and perfect for creating collages and artwork ideas.",General,http://books.google.com/books?id=RlDuvwEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Justice and the Poor,Reginald Heber Smith,http://books.google.com/books/content?id=5E4zAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,Legal assistance to the poor,https://play.google.com/store/books/details?id=5E4zAQAAMAAJ&source=gbs_api
Minutes of the ... Annual Convention of the Hartwick Synod of the Evangelical Lutheran Church of the State of New York,General Synod of the Evangelical Lutheran Church in the United States. Hartwick Synod,,,General,http://books.google.com/books?id=QY_PugEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
Report of the Attorney Generals National Committee to Study the Antitrust Laws,,,,General,http://books.google.com/books?id=6UfWjgEACAAJ&dq=the&hl=&as_pt=BOOKS&source=gbs_api
The Story of Grettir the Strong,Anonymous,http://books.google.com/books/content?id=XtbCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Anonymous's 'The Story of Grettir the Strong' is a classic Icelandic saga that tells the epic tale of Grettir, a powerful warrior known for his strength and exploits. The book is written in a captivating and engaging style, typical of the Icelandic sagas, with vivid descriptions of battles, adventures, and dark magic. The literary context of the book places it within the tradition of medieval Scandinavian literature, showcasing themes of heroism, fate, and the supernatural. The Story of Grettir the Strong is a must-read for anyone interested in Norse mythology and medieval literature, offering a window into a fascinating and brutal world. The author's anonymous identity adds to the mystery and allure of the saga, leaving readers to speculate on the motivations behind its creation. Whether you are a fan of epic tales or a student of medieval literature, 'The Story of Grettir the Strong' is sure to captivate and inspire you with its timeless themes and memorable characters.",History,https://play.google.com/store/books/details?id=XtbCDwAAQBAJ&source=gbs_api
The Future Of Homo,Michel Odent,http://books.google.com/books/content?id=u5mxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"'This book should be read by anyone involved in birth work, and in future oriented scientific disciplines, anyone working on sustainable development goals, resilience, and planetary boundaries. It is an essential read for explorers of the future and people necessitating transdisciplinary science to explore solutions for our planetary crises ... His writing is clear and organized, the chapters can be very short, his argumentation is persuasive and can seem disconnected at times until the connection is found; we enter the brain of a great systems thinker ...; Michel Odent's scientifically evidenced linkages between seemingly disconnected events grows our understanding of interconnectedness; a key quality for the survival of humanity.'Midwifery TodayAt a global scale, love hormones are now redundant in the critical period surrounding birth ... reasons for questions?Between 1970 and 1990, in many parts of the world, the rates of caesareans escalated from roughly 5% to roughly 25%. During this short phase of history, the father's participation became routine. Is there a link between these facts?Health care systems are on the way to collapsing. Should we go on focusing on the preventive and curative treatments of particular diseases or should we give a greater importance to the way our basic adaptive systems, involved in what we commonly call health, reach a high degree of maturity?These examples are sufficient to illustrate the 'neo-Socratic attitude' of the author. Our contemporaries are constantly dealing with unprecedented situations. Question marks, therefore, can symbolise the current phase of our history. Throughout this book, radically new situations are analysed, before appropriate questions are phrased.At a time when people commonly debate on the long-term effects of human activities without considering the probable transformations of Homo, one cannot avoid a preliminary question: How to reach an audience made up of female and male open-minded people who are turned towards the future but have not yet realised that the important period surrounding birth has been radically transformed during the past decades?In the age of cultural blindness related to overspecialization, The Future of Homo is also a training tool to think across boundaries.Related Link(s)",Medical,https://play.google.com/store/books/details?id=u5mxDwAAQBAJ&source=gbs_api
